device_name,sm_count,experiment,param_name,param_value,elements,repeats,warmup,mean_ms,std_ms,requested_bytes,requested_bandwidth_gb_s
"NVIDIA GeForce RTX 4060 Laptop GPU",24,stride_sweep,stride,1,1048576,50,10,0.033293,0.028019,8388608.000000,251.964630
"NVIDIA GeForce RTX 4060 Laptop GPU",24,stride_sweep,stride,2,1048576,50,10,0.014959,0.000657,8388608.000000,560.783809
"NVIDIA GeForce RTX 4060 Laptop GPU",24,stride_sweep,stride,4,1048576,50,10,0.017677,0.000567,8388608.000000,474.537485
"NVIDIA GeForce RTX 4060 Laptop GPU",24,stride_sweep,stride,8,1048576,50,10,0.161139,0.006744,8388608.000000,52.058147
"NVIDIA GeForce RTX 4060 Laptop GPU",24,stride_sweep,stride,16,1048576,50,10,0.162884,0.007400,8388608.000000,51.500555
"NVIDIA GeForce RTX 4060 Laptop GPU",24,stride_sweep,stride,32,1048576,50,10,0.165860,0.008861,8388608.000000,50.576292
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,0,1048576,50,10,0.021384,0.009193,8388608.000000,392.290193
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,1,1048576,50,10,0.019063,0.009237,8388608.000000,440.045654
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,2,1048576,50,10,0.020403,0.010025,8388608.000000,411.154676
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,3,1048576,50,10,0.023406,0.010829,8388608.000000,358.394397
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,4,1048576,50,10,0.018165,0.007667,8388608.000000,461.797553
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,5,1048576,50,10,0.021117,0.009236,8388608.000000,397.248066
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,6,1048576,50,10,0.018589,0.007796,8388608.000000,451.272161
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,7,1048576,50,10,0.018575,0.007893,8388608.000000,451.598677
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,8,1048576,50,10,0.018250,0.007792,8388608.000000,459.659827
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,9,1048576,50,10,0.019277,0.009473,8388608.000000,435.151555
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,10,1048576,50,10,0.014685,0.002894,8388608.000000,571.219381
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,11,1048576,50,10,0.014410,0.000405,8388608.000000,582.154114
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,12,1048576,50,10,0.014557,0.000387,8388608.000000,576.267306
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,13,1048576,50,10,0.016472,0.006103,8388608.000000,509.274583
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,14,1048576,50,10,0.014729,0.001390,8388608.000000,569.531586
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,15,1048576,50,10,0.014726,0.001817,8388608.000000,569.630592
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,16,1048576,50,10,0.014465,0.000990,8388608.000000,579.938938
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,17,1048576,50,10,0.016220,0.010259,8388608.000000,517.171716
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,18,1048576,50,10,0.014433,0.000864,8388608.000000,581.199003
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,19,1048576,50,10,0.014490,0.001330,8388608.000000,578.914355
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,20,1048576,50,10,0.014373,0.000407,8388608.000000,583.631663
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,21,1048576,50,10,0.014376,0.000660,8388608.000000,583.501757
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,22,1048576,50,10,0.014324,0.000512,8388608.000000,585.639602
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,23,1048576,50,10,0.014297,0.000347,8388608.000000,586.740675
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,24,1048576,50,10,0.014319,0.000492,8388608.000000,585.822826
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,25,1048576,50,10,0.014195,0.000439,8388608.000000,590.973442
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,26,1048576,50,10,0.014471,0.000816,8388608.000000,579.682450
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,27,1048576,50,10,0.015668,0.004290,8388608.000000,535.402964
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,28,1048576,50,10,0.014851,0.003161,8388608.000000,564.868123
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,29,1048576,50,10,0.014294,0.000220,8388608.000000,586.872030
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,30,1048576,50,10,0.014605,0.001751,8388608.000000,574.348186
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,31,1048576,50,10,0.014477,0.000802,8388608.000000,579.426194
"NVIDIA GeForce RTX 4060 Laptop GPU",24,offset_sweep,offset,32,1048576,50,10,0.014617,0.002379,8388608.000000,573.895527
