message_bytes,elements,num_gpus,mode,mean_ms,algbw_gb_s,busbw_gb_s
1024,256,1,allreduce,0.081250,0.012603,0.000000
2048,512,1,allreduce,0.057709,0.035488,0.000000
4096,1024,1,allreduce,0.048026,0.085287,0.000000
8192,2048,1,allreduce,0.048129,0.170211,0.000000
16384,4096,1,allreduce,0.035506,0.461448,0.000000
32768,8192,1,allreduce,0.031946,1.025721,0.000000
65536,16384,1,allreduce,0.028798,2.275749,0.000000
131072,32768,1,allreduce,0.027737,4.725461,0.000000
262144,65536,1,allreduce,0.029943,8.754680,0.000000
524288,131072,1,allreduce,0.027277,19.220565,0.000000
1048576,262144,1,allreduce,0.028009,37.437243,0.000000
2097152,524288,1,allreduce,0.045165,46.433174,0.000000
4194304,1048576,1,allreduce,0.024437,171.637435,0.000000
8388608,2097152,1,allreduce,0.030156,278.176069,0.000000
16777216,4194304,1,allreduce,0.072623,231.016670,0.000000
33554432,8388608,1,allreduce,0.308585,108.736327,0.000000
67108864,16777216,1,allreduce,0.614938,109.131017,0.000000
