experiment,reg_tmp_size,launch_bounds_min_blocks,block_size,regs_per_thread,active_blocks_per_sm,theoretical_occupancy,avg_ms,throughput_gel_s,grid_blocks,elements,iters,repeats,warmup
launch_bounds,0,1,256,62,4,0.66666667,0.878219,1.193979754,2304,1048576,64,20,5
launch_bounds,0,2,256,62,4,0.66666667,0.877872,1.194452052,2304,1048576,64,20,5
launch_bounds,0,4,256,60,4,0.66666667,0.872346,1.20201898,2304,1048576,64,20,5
launch_bounds,0,6,256,40,6,1.0,6.226995,0.168391977,2304,1048576,64,20,5
sweep,0,0,128,19,12,1.0,0.364544,2.876404461,2304,1048576,256,20,5
sweep,8,0,128,27,12,1.0,0.196147,5.345862605,2304,1048576,256,20,5
sweep,16,0,128,33,12,1.0,0.191898,5.464247573,2304,1048576,256,20,5
sweep,24,0,128,38,12,1.0,0.194554,5.38965101,2304,1048576,256,20,5
sweep,32,0,128,46,10,0.83333333,0.197478,5.309826325,2304,1048576,256,20,5
sweep,40,0,128,54,9,0.75,0.200397,5.232498566,2304,1048576,256,20,5
sweep,48,0,128,62,8,0.66666667,0.203405,5.155118895,2304,1048576,256,20,5
sweep,56,0,128,70,7,0.58333333,0.206541,5.07684697,2304,1048576,256,20,5
sweep,64,0,128,78,6,0.5,0.210278,4.986608423,2304,1048576,256,20,5
sweep,80,0,128,94,5,0.41666667,0.169165,6.198546973,2304,1048576,256,20,5
sweep,96,0,128,111,4,0.33333333,0.188878,5.55159292,2304,1048576,256,20,5
sweep,128,0,128,151,3,0.25,0.24124,4.34660928,2304,1048576,256,20,5
sweep,160,0,128,238,2,0.16666667,0.338381,3.098804809,2304,1048576,256,20,5
sweep,192,0,128,238,2,0.16666667,0.349374,3.001296171,2304,1048576,256,20,5
sweep,256,0,128,255,2,0.16666667,0.399002,2.627999498,2304,1048576,256,20,5
sweep,0,0,256,19,6,1.0,0.378053,2.773623149,2304,1048576,256,20,5
sweep,8,0,256,27,6,1.0,0.196096,5.347258402,2304,1048576,256,20,5
sweep,16,0,256,33,6,1.0,0.191386,5.47886579,2304,1048576,256,20,5
sweep,24,0,256,38,6,1.0,0.195533,5.362660416,2304,1048576,256,20,5
sweep,32,0,256,46,5,0.83333333,0.196966,5.323628943,2304,1048576,256,20,5
sweep,40,0,256,54,4,0.66666667,0.201933,5.192697314,2304,1048576,256,20,5
sweep,48,0,256,62,4,0.66666667,0.205414,5.104686325,2304,1048576,256,20,5
sweep,56,0,256,70,3,0.5,0.209104,5.014615058,2304,1048576,256,20,5
sweep,64,0,256,78,3,0.5,0.168192,6.234398812,2304,1048576,256,20,5
sweep,80,0,256,94,2,0.33333333,0.187285,5.598831375,2304,1048576,256,20,5
sweep,96,0,256,111,2,0.33333333,0.192819,5.43813042,2304,1048576,256,20,5
sweep,128,0,256,151,1,0.16666667,0.351648,2.981890958,2304,1048576,256,20,5
sweep,160,0,256,238,1,0.16666667,0.345378,3.036027865,2304,1048576,256,20,5
sweep,192,0,256,238,1,0.16666667,0.357837,2.930319213,2304,1048576,256,20,5
sweep,256,0,256,255,1,0.16666667,0.412006,2.545047979,2304,1048576,256,20,5
sweep,0,0,512,19,3,1.0,0.388699,2.697654098,2304,1048576,256,20,5
sweep,8,0,512,27,3,1.0,0.197581,5.307074386,2304,1048576,256,20,5
sweep,16,0,512,33,3,1.0,0.194099,5.402268454,2304,1048576,256,20,5
sweep,24,0,512,38,3,1.0,0.196862,5.326441221,2304,1048576,256,20,5
sweep,32,0,512,46,2,0.66666667,0.201472,5.204574351,2304,1048576,256,20,5
sweep,40,0,512,54,2,0.66666667,0.204274,5.133193628,2304,1048576,256,20,5
sweep,48,0,512,62,2,0.66666667,0.207242,5.059678901,2304,1048576,256,20,5
sweep,56,0,512,70,1,0.33333333,0.25472,4.116582876,2304,1048576,256,20,5
sweep,64,0,512,78,1,0.33333333,0.194138,5.401199889,2304,1048576,256,20,5
sweep,80,0,512,94,1,0.33333333,0.202342,5.182186465,2304,1048576,256,20,5
sweep,96,0,512,111,1,0.33333333,0.205517,5.102142864,2304,1048576,256,20,5
sweep,0,0,1024,19,1,0.66666667,0.392704,2.670143348,2304,1048576,256,20,5
sweep,8,0,1024,27,1,0.66666667,0.220979,4.745134729,2304,1048576,256,20,5
sweep,16,0,1024,33,1,0.66666667,0.218624,4.79625302,2304,1048576,256,20,5
sweep,24,0,1024,38,1,0.66666667,0.222413,4.714548913,2304,1048576,256,20,5
sweep,32,0,1024,46,1,0.66666667,0.224512,4.670467278,2304,1048576,256,20,5
sweep,40,0,1024,54,1,0.66666667,0.227789,4.603281516,2304,1048576,256,20,5
sweep,48,0,1024,62,1,0.66666667,0.229986,4.559311644,2304,1048576,256,20,5
