experiment,reg_tmp_size,launch_bounds_min_blocks,block_size,regs_per_thread,active_blocks_per_sm,theoretical_occupancy,grid_blocks,elements,iters,repeats,warmup,avg_ms,throughput_gel_s
sweep,0,0,128,19,12,1,2304,1048576,256,20,5,0.364544,2.876404461
sweep,0,0,256,19,6,1.00000000,2304,1048576,256,20,5,0.378053,2.773623149
sweep,0,0,512,19,3,1.00000000,2304,1048576,256,20,5,0.388699,2.697654098
sweep,0,0,1024,19,1,0.66666667,2304,1048576,256,20,5,0.392704,2.670143348
sweep,8,0,128,27,12,1.00000000,2304,1048576,256,20,5,0.196147,5.345862605
sweep,8,0,256,27,6,1.00000000,2304,1048576,256,20,5,0.196096,5.347258402
sweep,8,0,512,27,3,1.00000000,2304,1048576,256,20,5,0.197581,5.307074386
sweep,8,0,1024,27,1,0.66666667,2304,1048576,256,20,5,0.220979,4.745134729
sweep,16,0,128,33,12,1.00000000,2304,1048576,256,20,5,0.191898,5.464247573
sweep,16,0,256,33,6,1.00000000,2304,1048576,256,20,5,0.191386,5.478865790
sweep,16,0,512,33,3,1.00000000,2304,1048576,256,20,5,0.194099,5.402268454
sweep,16,0,1024,33,1,0.66666667,2304,1048576,256,20,5,0.218624,4.796253020
sweep,24,0,128,38,12,1.00000000,2304,1048576,256,20,5,0.194554,5.389651010
sweep,24,0,256,38,6,1.00000000,2304,1048576,256,20,5,0.195533,5.362660416
sweep,24,0,512,38,3,1.00000000,2304,1048576,256,20,5,0.196862,5.326441221
sweep,24,0,1024,38,1,0.66666667,2304,1048576,256,20,5,0.222413,4.714548913
sweep,32,0,128,46,10,0.83333333,2304,1048576,256,20,5,0.197478,5.309826325
sweep,32,0,256,46,5,0.83333333,2304,1048576,256,20,5,0.196966,5.323628943
sweep,32,0,512,46,2,0.66666667,2304,1048576,256,20,5,0.201472,5.204574351
sweep,32,0,1024,46,1,0.66666667,2304,1048576,256,20,5,0.224512,4.670467278
sweep,40,0,128,54,9,0.75000000,2304,1048576,256,20,5,0.200397,5.232498566
sweep,40,0,256,54,4,0.66666667,2304,1048576,256,20,5,0.201933,5.192697314
sweep,40,0,512,54,2,0.66666667,2304,1048576,256,20,5,0.204274,5.133193628
sweep,40,0,1024,54,1,0.66666667,2304,1048576,256,20,5,0.227789,4.603281516
sweep,48,0,128,62,8,0.66666667,2304,1048576,256,20,5,0.203405,5.155118895
sweep,48,0,256,62,4,0.66666667,2304,1048576,256,20,5,0.205414,5.104686325
sweep,48,0,512,62,2,0.66666667,2304,1048576,256,20,5,0.207242,5.059678901
sweep,48,0,1024,62,1,0.66666667,2304,1048576,256,20,5,0.229986,4.559311644
sweep,56,0,128,70,7,0.58333333,2304,1048576,256,20,5,0.206541,5.076846970
sweep,56,0,256,70,3,0.50000000,2304,1048576,256,20,5,0.209104,5.014615058
sweep,56,0,512,70,1,0.33333333,2304,1048576,256,20,5,0.254720,4.116582876
sweep,64,0,128,78,6,0.50000000,2304,1048576,256,20,5,0.210278,4.986608423
sweep,64,0,256,78,3,0.50000000,2304,1048576,256,20,5,0.168192,6.234398812
sweep,64,0,512,78,1,0.33333333,2304,1048576,256,20,5,0.194138,5.401199889
sweep,80,0,128,94,5,0.41666667,2304,1048576,256,20,5,0.169165,6.198546973
sweep,80,0,256,94,2,0.33333333,2304,1048576,256,20,5,0.187285,5.598831375
sweep,80,0,512,94,1,0.33333333,2304,1048576,256,20,5,0.202342,5.182186465
sweep,96,0,128,111,4,0.33333333,2304,1048576,256,20,5,0.188878,5.551592920
sweep,96,0,256,111,2,0.33333333,2304,1048576,256,20,5,0.192819,5.438130420
sweep,96,0,512,111,1,0.33333333,2304,1048576,256,20,5,0.205517,5.102142864
sweep,128,0,128,151,3,0.25000000,2304,1048576,256,20,5,0.241240,4.346609280
sweep,128,0,256,151,1,0.16666667,2304,1048576,256,20,5,0.351648,2.981890958
sweep,160,0,128,238,2,0.16666667,2304,1048576,256,20,5,0.338381,3.098804809
sweep,160,0,256,238,1,0.16666667,2304,1048576,256,20,5,0.345378,3.036027865
sweep,192,0,128,238,2,0.16666667,2304,1048576,256,20,5,0.349374,3.001296171
sweep,192,0,256,238,1,0.16666667,2304,1048576,256,20,5,0.357837,2.930319213
sweep,256,0,128,255,2,0.16666667,2304,1048576,256,20,5,0.399002,2.627999498
sweep,256,0,256,255,1,0.16666667,2304,1048576,256,20,5,0.412006,2.545047979
launch_bounds,0,1,256,62,4,0.66666667,2304,1048576,64,20,5,0.878219,1.193979754
launch_bounds,0,2,256,62,4,0.66666667,2304,1048576,64,20,5,0.877872,1.194452052
launch_bounds,0,4,256,60,4,0.66666667,2304,1048576,64,20,5,0.872346,1.202018980
launch_bounds,0,6,256,40,6,1.00000000,2304,1048576,64,20,5,6.226995,0.168391977
