device_name,sm_count,blocks_per_sm,blocks,warps_per_block,threads_per_block,total_warps,elements,iterations,repeats,warmup,avg_ms,std_ms,warps_per_ms
NVIDIA GeForce RTX 4060 Laptop GPU,24,64,1536,24,768,36864,1179648,2048,20,5,0.550931,0.001671,66912.19045579211
NVIDIA GeForce RTX 4060 Laptop GPU,24,64,1536,20,640,30720,983040,2048,20,5,0.461312,0.001288,66592.67480577137
NVIDIA GeForce RTX 4060 Laptop GPU,24,64,1536,16,512,24576,786432,2048,20,5,0.369144,0.002044,66575.64527664
NVIDIA GeForce RTX 4060 Laptop GPU,24,48,1152,22,704,25344,811008,2048,20,5,0.38175,0.001354,66388.99803536346
NVIDIA GeForce RTX 4060 Laptop GPU,24,48,1152,23,736,26496,847872,2048,20,5,0.399517,0.001152,66320.08149840933
NVIDIA GeForce RTX 4060 Laptop GPU,24,48,1152,15,480,17280,552960,2048,20,5,0.260787,0.000609,66260.97159751061
NVIDIA GeForce RTX 4060 Laptop GPU,24,48,1152,21,672,24192,774144,2048,20,5,0.365322,0.001119,66221.03240428992
NVIDIA GeForce RTX 4060 Laptop GPU,24,64,1536,23,736,35328,1130496,2048,20,5,0.533507,0.001797,66218.43762124958
NVIDIA GeForce RTX 4060 Laptop GPU,24,64,1536,18,576,27648,884736,2048,20,5,0.418085,0.002179,66130.09316287359
NVIDIA GeForce RTX 4060 Laptop GPU,24,24,576,24,768,13824,442368,2048,20,5,0.209106,0.000783,66110.01119049669
